"model_type","n","innov_dist","contamination","epsilon","hp_scenario","delta","rate_linearized","rate_l2","mean_loc_linearized","mean_loc_l2"
"LMUH",500,"t3","Clean",0,"H1",1.25,0.999,0.931,0.5123,0.5012
"LMUH",1000,"t3","Clean",0,"H1",1.25,1,0.997,0.5085,0.5023
"LMUH",5000,"t3","Clean",0,"H1",1.25,1,1,0.5033,0.5007
"LMUH",500,"normal","AO",0.05,"H1",1.25,0.987,0.092,0.5096,0.5159
"LMUH",1000,"normal","AO",0.05,"H1",1.25,1,0.478,0.5062,0.5002
"LMUH",5000,"normal","AO",0.05,"H1",1.25,1,1,0.5021,0.5004
"LMUH",500,"t3","AO",0.05,"H1",1.25,0.993,0.104,0.512,0.5042
"LMUH",1000,"t3","AO",0.05,"H1",1.25,1,0.449,0.508,0.5012
"LMUH",5000,"t3","AO",0.05,"H1",1.25,1,1,0.5032,0.4998
"LMUH",500,"normal","IO",0.05,"H1",1.25,0.607,0.037,0.5087,0.518
"LMUH",1000,"normal","IO",0.05,"H1",1.25,0.964,0.146,0.5056,0.5094
"LMUH",5000,"normal","IO",0.05,"H1",1.25,1,0.994,0.5022,0.5006
"LMUH",500,"t3","IO",0.05,"H1",1.25,0.647,0.039,0.5091,0.5068
"LMUH",1000,"t3","IO",0.05,"H1",1.25,0.97,0.171,0.5059,0.5022
"LMUH",5000,"t3","IO",0.05,"H1",1.25,1,0.993,0.5025,0.5004
"LMUH",500,"normal","RO",0.05,"H1",1.25,0.937,0.478,0.511,0.5044
"LMUH",1000,"normal","RO",0.05,"H1",1.25,0.999,0.909,0.5064,0.5011
"LMUH",5000,"normal","RO",0.05,"H1",1.25,1,1,0.5022,0.4999
"LMUH",500,"t3","RO",0.05,"H1",1.25,0.96,0.476,0.5127,0.5137
"LMUH",1000,"t3","RO",0.05,"H1",1.25,0.999,0.902,0.5081,0.5028
"LMUH",5000,"t3","RO",0.05,"H1",1.25,1,0.998,0.5033,0.4998
"LMUH",500,"normal","Clean",0,"H2",1.25,0.722,0.472,0.536,0.5342
"LMUH",1000,"normal","Clean",0,"H2",1.25,0.993,0.958,0.5279,0.528
"LMUH",5000,"normal","Clean",0,"H2",1.25,1,1,0.5091,0.5104
"LMUH",500,"t3","Clean",0,"H2",1.25,0.884,0.51,0.5385,0.5458
"LMUH",1000,"t3","Clean",0,"H2",1.25,1,0.942,0.5277,0.5275
"LMUH",5000,"t3","Clean",0,"H2",1.25,1,1,0.5094,0.5096
"LMUH",500,"normal","AO",0.05,"H2",1.25,0.646,0.017,0.5324,0.5291
"LMUH",1000,"normal","AO",0.05,"H2",1.25,0.985,0.071,0.5226,0.5095
"LMUH",5000,"normal","AO",0.05,"H2",1.25,1,0.962,0.5114,0.5068
"LMUH",500,"t3","AO",0.05,"H2",1.25,0.841,0.012,0.5381,0.5248
"LMUH",1000,"t3","AO",0.05,"H2",1.25,0.997,0.09,0.5229,0.5101
"LMUH",5000,"t3","AO",0.05,"H2",1.25,1,0.972,0.5078,0.5067
"LMUH",500,"normal","IO",0.05,"H2",1.25,0.174,0.01,0.5135,0.5206
"LMUH",1000,"normal","IO",0.05,"H2",1.25,0.603,0.032,0.5176,0.5004
"LMUH",5000,"normal","IO",0.05,"H2",1.25,1,0.628,0.5074,0.507
"LMUH",500,"t3","IO",0.05,"H2",1.25,0.198,0.016,0.5272,0.5145
"LMUH",1000,"t3","IO",0.05,"H2",1.25,0.693,0.039,0.5201,0.5154
"LMUH",5000,"t3","IO",0.05,"H2",1.25,1,0.63,0.509,0.5043
"LMUH",500,"normal","RO",0.05,"H2",1.25,0.48,0.079,0.5347,0.5504
"LMUH",1000,"normal","RO",0.05,"H2",1.25,0.943,0.336,0.5258,0.5383
"LMUH",5000,"normal","RO",0.05,"H2",1.25,1,1,0.5158,0.5131
"LMUH",500,"t3","RO",0.05,"H2",1.25,0.715,0.091,0.5349,0.5384
"LMUH",1000,"t3","RO",0.05,"H2",1.25,0.976,0.345,0.5242,0.5349
"LMUH",5000,"t3","RO",0.05,"H2",1.25,1,1,0.5115,0.5163
