"iteration","replication","scenario","contamination","percentage_contamination","shift_k","innov_dist","n","loss","bias_teta","bias_lin_teta","sq_error_teta","sq_error_lin_teta","k_rate"
5,5,"H0","clean",0.1,2,"t3",100,"Welsh",0.0348857275505003,0.198819279712647,0.00121701398672773,0.0395291059854558,0.588
5,5,"H0","clean",0.1,2,"t3",500,"Welsh",-0.0593121375736211,-0.0579383653592166,0.00351792966355216,0.00335685418049808,0.6477
5,5,"H1","clean",0.1,2,"t3",100,"Welsh",-0.606497266581292,-0.483042045612209,0.367838934370579,0.233329617829227,0.6394
5,5,"H1","clean",0.1,2,"t3",500,"Welsh",-0.232442835270356,-0.115479554702967,0.0540296716685219,0.0133355275543956,0.6089
5,5,"H2","clean",0.1,2,"t3",100,"Welsh",-0.0396671225521603,0.107911987180552,0.00157348061156811,0.0116449969772557,0.588
5,5,"H2","clean",0.1,2,"t3",500,"Welsh",-0.100596232394087,-0.0536167510198597,0.0101196019718851,0.00287475598992563,0.5577
5,5,"H0","AO",0.1,2,"t3",100,"Welsh",0.115942209454819,0.213368435194629,0.0134425959332651,0.0455260891374044,0.588
5,5,"H0","AO",0.1,2,"t3",500,"Welsh",-0.0416347299496879,-0.0193491375192526,0.00173345073798344,0.00037438912273895,0.6089
5,5,"H1","AO",0.1,2,"t3",100,"Welsh",0.0317793563840152,0.191351912100515,0.00100992749218225,0.0366155542645232,0.588
5,5,"H1","AO",0.1,2,"t3",500,"Welsh",-0.200926589932654,-0.130332839286255,0.0403714945419648,0.0169866489964168,0.482
5,5,"H2","AO",0.1,2,"t3",100,"Welsh",0.103458666157802,0.242052506726274,0.0107036956031515,0.0585894160124729,0.6394
5,5,"H2","AO",0.1,2,"t3",500,"Welsh",-0.13840050291682,-0.0689042365667238,0.0191546992076287,0.00474779381684304,0.5577
5,5,"H0","IO",0.1,2,"t3",100,"Welsh",0.305249417257987,-0.00929280333824691,0.0931772067363406,8.63561938833329e-05,0.6394
5,5,"H0","IO",0.1,2,"t3",500,"Welsh",-0.012882608313234,0.0444458277643922,0.000165961596952207,0.00197543160566201,0.6477
5,5,"H1","IO",0.1,2,"t3",100,"Welsh",-0.455167559655003,-0.0200405278643123,0.207177507362291,0.000401622757080278,0.6394
5,5,"H1","IO",0.1,2,"t3",500,"Welsh",-0.0978158099529569,-0.0137184368341594,0.00956793267675298,0.000188195509172822,0.6089
5,5,"H2","IO",0.1,2,"t3",100,"Welsh",-0.386797848537621,-0.0417956597507603,0.149612575633332,0.00174687717400132,0.5396
5,5,"H2","IO",0.1,2,"t3",500,"Welsh",-0.125552513893158,-0.0175905593524086,0.0157634337448915,0.00030942777833061,0.6477
